127.0.0.1, 2011-08-14 19:44:30, GET, /infovis/visual/treemap, HTTP/1.1, 200, 0.014780
127.0.0.1, 2011-08-14 19:44:30, GET, /static/js/Jit/Examples/Treemap/example1.js, HTTP/1.1, 404, 0.000896
127.0.0.1, 2011-08-14 19:44:30, GET, /static/js/Jit/Examples/css/Treemap.css, HTTP/1.1, 404, 0.002323
127.0.0.1, 2011-08-14 19:44:30, GET, /static/js/Jit/Examples/css/base.css, HTTP/1.1, 404, 0.004306
127.0.0.1, 2011-08-14 19:44:30, GET, /static/js/Jit/jit-yc.js, HTTP/1.1, 404, 0.004131
127.0.0.1, 2011-08-14 19:44:30, GET, /static/js/Jit/Examples/Treemap/example1.js, HTTP/1.1, 404, 0.000978
127.0.0.1, 2011-08-14 19:44:30, GET, /infovis/visual/treemap, HTTP/1.1, 200, 0.022615
127.0.0.1, 2011-08-14 19:44:30, GET, /static/js/Jit/Examples/css/Treemap.css, HTTP/1.1, 404, 0.001825
127.0.0.1, 2011-08-14 19:44:30, GET, /static/js/Jit/Examples/css/base.css, HTTP/1.1, 404, 0.003074
127.0.0.1, 2011-08-14 19:44:30, GET, /static/js/Jit/Examples/Treemap/example1.js, HTTP/1.1, 404, 0.001232
127.0.0.1, 2011-08-14 19:44:30, GET, /static/js/Jit/jit-yc.js, HTTP/1.1, 404, 0.004635
127.0.0.1, 2011-08-14 19:44:30, GET, /static/js/Jit/Examples/Treemap/example1.js, HTTP/1.1, 404, 0.001046
127.0.0.1, 2011-08-14 19:44:32, GET, /infovis/visual/example1.code.html, HTTP/1.1, 400, 0.000453
127.0.0.1, 2011-08-14 19:44:35, GET, /infovis/visual/treemap, HTTP/1.1, 200, 0.014367
127.0.0.1, 2011-08-14 19:45:25, GET, /infovis/visual/treemap, HTTP/1.1, 200, 0.047727
127.0.0.1, 2011-08-14 19:45:25, GET, /static/js/Jit/Examples/css/base.css, HTTP/1.1, 404, 0.001166
127.0.0.1, 2011-08-14 19:45:25, GET, /static/js/Jit/Examples/css/Treemap.css, HTTP/1.1, 404, 0.001943
